"","Sector","Total Economic mill dollar","Total value Added mill dollar","Employee Com mill dollar","Net Tax mill dollar","Profits mill dollar","Direct Economic mill dollar","Direct Economic","CO t","NH3 t","NOx t","PM10 t","PM2.5 t","SO2 t","VOC t","Total Energy TJ","Coal TJ","NatGase TJ","Petrol TJ","Bio/Waste TJ","NonFossElec TJ","Total t CO2e","CO2 Fossil t CO2e","CO2 Process t CO2e","CH4 t CO2e","N2O t CO2e","HFC/PFCs t CO2e","Fugitive kg","Stack kg","Total Air kg","Surface water kg","U'ground Water kg","Land kg","Offiste kg","POTW Metal kg","POTW Nonmetal kg","Water Withdrawals Kgal"
"310",337215,7.9e-05,3e-05,2.6e-05,0,4e-06,3e-06,3.8,1.3e-05,0,7e-06,5e-06,3e-06,3e-06,0.000126,0.000107,2e-06,5.3e-05,3e-06,1.4e-05,3.6e-05,0.003265,0.003265,0,0,0,0,0.001288,0.00468,0.005968,0,0,0,7e-06,0,0,0.013339
"311",337910,7e-06,3e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,0,1e-06,1e-06,7.9e-05,7.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052
"312",337920,9e-05,3e-05,2.7e-05,0,3e-06,6.5e-05,72.2,1e-06,0,2e-06,1e-06,1e-06,3e-06,1.7e-05,5.2e-05,2e-06,1.4e-05,1e-06,1.3e-05,2.2e-05,0.001047,0.001047,0,0,0,0,0.00033,0.002458,0.002789,0,0,0,4.4e-05,0,6e-06,0.009205
"313",339111,5e-06,2e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,0,0,1e-06,8.8e-05,8.8e-05,0,0,0,0,9e-06,1.8e-05,2.8e-05,0,0,0,1e-06,0,0,0.000367
"314",339112,3.7e-05,2.1e-05,1e-05,0,1e-05,7e-06,18.9,0,0,0,0,0,0,1e-06,1.5e-05,0,5e-06,0,1e-06,9e-06,0.000262,0.000262,0,0,0,0,0.000252,0.001157,0.001409,1e-06,0,3.6e-05,4.2e-05,1e-06,0.000216,0.002243
"315",339113,0.000156,8.5e-05,3.8e-05,0,4.7e-05,3.1e-05,19.9,2e-06,1e-06,2e-06,0,0,1e-06,6e-06,7.1e-05,0,3.1e-05,2e-06,4e-06,3.5e-05,0.001743,0.001743,0,0,0,0,0.000288,0.001713,0.002001,0,0,3.8e-05,0.000401,2.8e-05,0.000443,0.009749
"316",339114,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,3e-06,0,0,0,0,3e-06,4e-06,7e-06,0,0,0,1e-06,0,0,3.8e-05
"317",339115,6e-06,3e-06,2e-06,0,2e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,0,0,2e-06,3.8e-05,3.8e-05,0,0,0,0,1.5e-05,0.000109,0.000124,0,0,0,0,0,1.9e-05,0.000299
"318",339116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06
"319",339910,2.1e-05,7e-06,5e-06,0,2e-06,0,0,1e-06,0,1e-06,0,0,0,5e-06,7e-06,0,4e-06,0,0,2e-06,0.000234,0.000234,0,0,0,0,0.000594,0.00112,0.001713,1.5e-05,0,1.6e-05,0.001897,9e-06,0.000697,0.000679
"320",339920,1.5e-05,6e-06,3e-06,0,3e-06,0,0,0,0,0,0,0,0,2e-06,1.1e-05,0,6e-06,0,0,4e-06,0.00033,0.00033,0,0,0,0,0.000252,0.000914,0.001167,3.5e-05,0,1e-06,0.000324,3.7e-05,0.00029,0.001076
"321",339930,8e-06,4e-06,1e-06,0,2e-06,0,0,1e-06,0,0,0,0,0,2e-06,5e-06,0,3e-06,0,0,2e-06,0.00015,0.00015,0,0,0,0,0.000218,0.000518,0.000736,0,0,3.4e-05,0.000235,2.3e-05,0.000198,0.000674
"322",339940,0.000174,9.3e-05,4.4e-05,1e-06,4.8e-05,9e-06,5.17,2.8e-05,0,1e-05,3e-06,2e-06,1e-06,9e-06,0.000117,0,5.5e-05,2e-06,4e-06,5.6e-05,0.002985,0.002985,0,0,0,0,0.003742,0.003605,0.007347,0.000235,0,0,0.000156,0,0.001575,0.020018
"323",339950,0.000318,0.00012,0.000112,6e-06,1e-06,6.5e-05,20.4,4e-06,0,7e-06,0,0,3e-06,1.1e-05,0.000236,0,0.000134,8e-06,1e-05,8.5e-05,0.007566,0.007566,0,0,0,0,0.000188,0.000712,9e-04,0,0,0,8.5e-05,1e-06,0.000995,0.207168
"324",339991,0.000311,0.00014,0.000106,1e-06,3.3e-05,4e-06,1.29,1e-05,0,1.7e-05,2e-06,1e-06,5e-06,3.7e-05,0.000413,0,0.000194,1e-05,1e-05,0.000199,0.010744,0.010744,0,0,0,0,0.007812,0.023352,0.031164,3.5e-05,0,0,0.010413,0.001334,0.000705,0.082635
"325",339992,1e-05,5e-06,3e-06,0,2e-06,0,0,0,0,0,0,0,0,1e-06,7e-06,0,4e-06,0,0,3e-06,0.000215,0.000215,0,0,0,0,2.5e-05,0.000104,0.000129,0,0,0,3.6e-05,0,0,0.000788
"326",339994,8.5e-05,4.3e-05,2.1e-05,0,2.1e-05,1e-06,1.18,1e-06,0,1e-06,0,0,0,0,5.2e-05,0,2.5e-05,1e-06,2e-06,2.4e-05,0.001351,0.001351,0,0,0,0,1.6e-05,6e-05,7.6e-05,0,0,0,0,0,3.6e-05,0.004426
"327",420000,0.11201,0.077904,0.042247,0.01825,0.017407,0.057389,51.2,0.056164,0.000178,0.055265,0.015324,0.002879,0.003757,0.029725,0.097824,0.000445,0.018521,0.056598,0,0.022261,3.629942,3.629942,0,0,0,0,0.067601,0.108615,0.176216,0.000551,0,0.003125,0.022658,5.9e-05,0.002064,7.845897
"328",481000,0.003157,0.00138,0.001221,0.000167,-8e-06,0.000549,17.4,0.013739,0,0.00234,0.000558,0.000417,0.000208,0.001088,0.074865,0,0,0.074753,0,0.000112,5.021621,5.021621,0,0,0,0,0,0.000944,0.000944,0,0,0,1.5e-05,0,0,0.040955
"329",482000,0.022716,0.010995,0.004805,-0.000462,0.006652,0.014296,62.9,0.067123,0.000177,0.517402,0.014175,0.013545,0.035296,0.024888,0.312718,0,0,0.307631,0,0.005085,21.082197,21.082197,0,0,0,0,0,0,0,0,0,0,0,0,0,1.426626
"330",483000,0.002354,0.000691,0.000419,-1.5e-05,0.000287,0.000709,30.1,0.00871,1.9e-05,0.079936,0.005374,0.004956,0.037811,0.005503,0.094404,0,0,0.093899,0,0.000505,5.884803,5.884803,0,0,0,0,0,0,0,0,0,0,0,0,0,1.807327
"331",484000,0.043388,0.019714,0.013084,0.000784,0.005847,0.02178,50.2,0.347534,0.000985,0.366792,0.104853,0.018352,0.007549,0.038994,0.567732,0,0,0.562339,0,0.005393,41.884693,41.884693,0,0,0,0,0,0,0,0,0,0,0,0,0,2.172901
"332",485000,0.000823,0.000468,0.000308,6e-05,1e-04,8.9e-05,10.8,0.000752,4e-06,0.002899,0.001255,0.000251,8.9e-05,0.000171,0.007093,0,0,0.005463,0,0.001631,0.064217,0.064217,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045454
"333",486000,0.003206,0.000805,0.000474,4.5e-05,0.000286,0,0,0.003707,2.5e-05,0.003215,3.3e-05,2.9e-05,2.3e-05,0.012142,0.137136,0,0.104229,0,0,0.032907,11.461174,5.241252,0.014365,6.205561,0,0,0,0,0,0,0,0,0,0,0,0
"334",491000,0.004129,0.003256,0.003369,0,-0.000114,0,0,0.004129,1.2e-05,0.004386,0.001235,0.000217,8.9e-05,0.000463,0.007212,0,0.002241,0.003934,0,0.001037,0.362534,0.362534,0,0,0,0,0,0,0,0,0,0,0,0,0,6.737338
"335",492000,0.005212,0.003018,0.00242,2.9e-05,0.000569,2.2e-05,0.422,0.050891,0.000144,0.053764,0.015372,0.00269,0.001107,0.005713,0.064285,0,0,0.063285,0,0.001,4.359948,4.359948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431366
